sujeto ,time ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
2,"3,5","1,141436","1,479553","2,422827","1,044483","0,390214","0,908914","0,418856","1,780545","0,800156","0,378937","3,19665","1,481119","1,277741","1,025742","0,256367","0,647132","3,340436","1,010107","0,615099","0,302529","1,325502","2,540257","1,824694","0,738351","0,490077"
2,"3,625","1,35177","1,877775","2,597965","1,089131","0,383526","1,214954","0,490418","1,912187","0,734356","0,435944","3,340667","1,513333","1,355698","0,965369","0,310208","0,577413","3,530834","1,135345","0,570212","0,305149","1,340822","2,858559","2,115011","0,762273","0,525835"
2,"3,75","1,784778","2,25181","2,516933","1,035467","0,385287","1,719286","0,530782","1,951665","0,670087","0,500259","3,562868","1,513707","1,409348","0,923978","0,395274","0,614211","3,4396","1,204499","0,540785","0,309988","1,554957","3,10905","2,327162","0,761985","0,563371"
2,"3,875","2,276332","2,49939","2,223653","0,913235","0,391098","2,451897","0,525353","1,858156","0,61724","0,553558","3,848993","1,54281","1,430449","0,953052","0,502578","0,748168","3,13362","1,203398","0,540794","0,321992","2,049578","3,210078","2,431324","0,734165","0,59802"
2,4,"3,108645","2,566911","1,836109","0,770491","0,392175","3,340132","0,483864","1,636603","0,575378","0,575627","4,128833","1,625036","1,423609","1,06692","0,613215","0,958176","2,768835","1,145017","0,576351","0,344226","2,717829","3,116964","2,432719","0,690626","0,61961"
2,"4,125","5,484249","2,634817","1,506053","0,655206","0,381166","4,213442","0,438746","1,339137","0,543032","0,55421","4,29419","1,748571","1,425516","1,236035","0,705343","1,200534","2,508245","1,058702","0,643762","0,378963","4,046115","2,982749","2,412158","0,655048","0,618417"
2,"4,25","11,117698","3,10006","1,321795","0,599609","0,358072","4,862898","0,41541","1,037513","0,531819","0,492339","4,319625","1,879792","1,473193","1,393859","0,763949","1,439755","2,454837","0,97712","0,727232","0,430863","7,336904","3,191817","2,439403","0,648883","0,593576"
2,"4,375","20,763287","4,318388","1,281986","0,610222","0,331665","5,023206","0,439814","0,801745","0,563885","0,406947","4,179907","1,976045","1,590684","1,47712","0,784728","1,649353","2,624863","0,935644","0,80735","0,506433","13,405584","4,144711","2,519943","0,684092","0,55434"
2,"4,5","33,097752","6,302203","1,324282","0,668963","0,315288","4,708244","0,515853","0,67167","0,648793","0,321539","3,921319","2,010633","1,759635","1,453611","0,773157","1,835769","2,945849","0,958423","0,864339","0,607825","21,778461","5,915455","2,601341","0,758713","0,51496"
2,"4,625","44,735043","8,628147","1,382344","0,748276","0,318435","4,002845","0,622997","0,649154","0,770777","0,257144","3,632719","1,978987","1,915659","1,336566","0,738819","2,07304","3,306355","1,050178","0,894649","0,725049","30,467939","8,155658","2,612668","0,856961","0,486023"
