sujeto ,tiempo ,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
2,"1,75","3,277159","8,354052","7,931484","2,507963","0,994869","2,443587","3,082677","2,738894","0,704329","0,248527","5,040337","7,413782","11,641741","1,449401","0,440131","1,533123","6,863471","2,690355","0,928581","0,350956","2,284672","11,906293","7,488528","1,745395","0,937137"
2,"1,875","5,540802","11,731204","7,839314","2,96325","0,990654","3,125973","3,31475","2,118891","0,774883","0,239981","7,590874","7,600968","9,589534","1,674869","0,46851","1,943334","11,146649","2,959863","0,968495","0,364321","4,443196","18,2092","7,24005","2,043593","0,917153"
2,2,"10,335603","15,297571","7,534423","3,33087","0,983434","3,829581","3,393494","1,47016","0,789874","0,228126","11,365298","8,150447","7,650771","2,045999","0,514264","2,419603","15,941477","3,264624","0,994139","0,399497","8,684155","24,829502","6,75207","2,204059","0,839231"
2,"2,125","16,943607","18,048126","6,959723","3,449915","0,96299","4,394851","3,319409","0,938649","0,736498","0,215372","16,238962","8,980068","6,593188","2,421366","0,55684","2,921562","19,964918","3,487245","1,001231","0,44737","14,224599","29,885679","6,063506","2,162588","0,723191"
2,"2,25","23,728483","19,165833","6,091721","3,281768","0,933051","4,708417","3,114283","0,612456","0,631292","0,202755","21,314905","9,908298","6,642956","2,642842","0,574475","3,371773","21,985777","3,511537","0,993983","0,489604","19,916063","31,799812","5,222005","1,94654","0,604438"
2,"2,375","28,439583","18,350513","5,026291","2,903987","0,90702","4,715975","2,826324","0,506442","0,511862","0,191291","25,324533","10,60568","7,38063","2,607604","0,555606","3,715127","21,383272","3,298111","0,979131","0,507518","23,797121","29,984016","4,301905","1,643346","0,521559"
2,"2,5","29,857899","15,874524","3,955148","2,442665","0,893734","4,428966","2,512085","0,574285","0,426033","0,182571","26,999022","10,686016","8,03898","2,321935","0,503738","3,914396","18,429529","2,896081","0,968427","0,493817","24,890137","25,07119","3,387913","1,345957","0,498184"
2,"2,625","27,54302","12,492565","3,106847","2,023274","0,895967","3,948993","2,226828","0,738817","0,405943","0,177397","25,736149","9,911802","7,967071","1,897894","0,433964","3,961199","14,168723","2,421618","0,973793","0,453094","22,789129","18,604441","2,55664","1,116267","0,536571"
2,"2,75","22,598833","9,042221","2,645529","1,712621","0,912241","3,36678","1,984885","0,919465","0,449391","0,174783","21,880184","8,29497","6,941998","1,473068","0,364","3,848005","9,879201","2,009457","0,99715","0,397594","18,366816","12,295098","1,911332","0,965601","0,614647"
2,"2,875","16,848707","6,156504","2,521738","1,501997","0,934749","2,798145","1,77172","1,046363","0,525882","0,172822","16,598579","6,215618","5,243124","1,134125","0,306409","3,598834","6,530928","1,726743","1,020256","0,339437","13,14032","7,377736","1,482902","0,857405","0,695526"
2,3,"11,950418","4,104408","2,532588","1,351182","0,947181","2,337249","1,592","1,075064","0,593324","0,169636","11,399289","4,192697","3,382705","0,903482","0,26607","3,24303","4,432156","1,557539","1,017519","0,286874","8,582903","4,256164","1,244625","0,758765","0,745323"
2,"3,125","8,785079","2,748187","2,45544","1,221222","0,931246","2,052545","1,440828","1,000154","0,617191","0,165174","7,393981","2,621083","1,838826","0,755354","0,240774","2,83598","3,292466","1,418069","0,971173","0,244083","5,506404","2,549457","1,101541","0,659496","0,745937"
2,"3,25","7,236346","1,843115","2,185546","1,105298","0,877863","1,919631","1,317047","0,845576","0,586015","0,162288","4,998487","1,632017","0,847807","0,654028","0,225996","2,458592","2,651453","1,240255","0,88488","0,211594","3,884971","1,632812","0,960399","0,579362","0,69907"
2,"3,375","6,550032","1,244377","1,767216","0,994924","0,79367","1,88666","1,227118","0,661915","0,510017","0,163422","3,853573","1,1264","0,371784","0,576954","0,219903","2,14109","2,153528","1,018565","0,782162","0,188055","3,073367","1,086763","0,778637","0,528637","0,623336"
2,"3,5","5,985407","0,9749","1,352775","0,887478","0,696233","1,888193","1,194742","0,523816","0,413108","0,169003","3,425941","0,939451","0,212391","0,519421","0,22044","1,902141","1,726085","0,809789","0,69559","0,172561","2,518592","0,831669","0,615442","0,501744","0,544093"
2,"3,625","5,354403","0,990012","1,057164","0,793927","0,605194","1,855097","1,240836","0,498822","0,325095","0,177194","3,243542","1,005776","0,193801","0,503609","0,223592","1,74293","1,465703","0,668731","0,653198","0,163497","2,07461","0,827795","0,544909","0,490779","0,481546"
2,"3,75","4,754177","1,162387","0,918705","0,724431","0,53584","1,80663","1,341039","0,616692","0,269266","0,184359","3,089168","1,305117","0,222278","0,56473","0,225048","1,776865","1,442401","0,62492","0,663654","0,158988","2,362405","0,999863","0,595575","0,490709","0,44143"
2,"3,875","4,638277","1,379481","0,904739","0,684401","0,495238","1,694932","1,445045","0,841455","0,25398","0,187051","2,884709","1,793943","0,276243","0,720791","0,221255","1,895164","1,646859","0,676577","0,71246","0,158262","3,070993","1,280437","0,737629","0,501485","0,415838"
2,4,"4,664917","1,526901","0,94678","0,675855","0,484888","1,576569","1,485543","1,087335","0,275873","0,183662","2,676852","2,359358","0,364704","0,95693","0,211877","2,085202","1,997704","0,784466","0,775224","0,162329","4,349632","1,581669","0,908497","0,525678","0,392067"
2,"4,125","4,719283","1,539464","0,981817","0,69135","0,504498","1,479127","1,422957","1,256849","0,32393","0,175885","2,468439","2,851186","0,492385","1,225535","0,200844","2,198428","2,364256","0,88694","0,828656","0,17337","5,594315","1,818993","1,054153","0,561307","0,363018"
2,"4,25","4,591291","1,406748","0,982926","0,721928","0,551248","1,428874","1,265371","1,29487","0,383374","0,168393","2,282957","3,156663","0,663009","1,458907","0,194138","2,164678","2,631547","0,93793","0,857718","0,19165","6,651896","1,933292","1,148247","0,601475","0,330838"
2,"4,375","4,127032","1,165897","0,960315","0,756278","0,612742","1,424607","1,058218","1,224794","0,437692","0,166088","2,131781","3,253448","0,881778","1,593951","0,195905","1,965561","2,721394","0,930777","0,857758","0,213853","6,971714","1,897539","1,201722","0,636943","0,303154"
2,"4,5","3,499107","0,883738","0,940534","0,780948","0,669199","1,472222","0,864031","1,12595","0,469333","0,171383","2,015355","3,183854","1,12574","1,593235","0,20595","1,653183","2,606659","0,868226","0,828888","0,235093","6,601994","1,722374","1,230871","0,662151","0,288771"
2,"4,625","2,901561","0,683655","0,943079","0,788309","0,698679","1,525639","0,739984","1,095985","0,467247","0,183707","1,946072","3,020877","1,360307","1,46383","0,220192","1,314769","2,333199","0,780231","0,776543","0,250945","5,607271","1,478472","1,257338","0,678467","0,293148"
2,"4,75","2,601451","0,691291","0,964771","0,779981","0,685701","1,611634","0,722879","1,20988","0,433337","0,201902","1,950664","2,835468","1,549562","1,259025","0,232968","1,09459","1,992771","0,694107","0,708715","0,259798","4,531271","1,272742","1,280508","0,699498","0,317679"
