sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
2,"2,375","6,335915","11,528378","3,206752","0,477679","0,749389","1,71967","1,173208","1,121866","0,624097","0,695075","10,378577","47,824539","9,47658","2,453332","0,59598","5,733629","5,586714","4,288483","1,941728","0,835417","13,256903","16,776611","3,758029","0,638368","0,969566"
2,"2,5","5,677608","8,635891","3,078599","0,482469","0,584861","1,445192","1,301425","1,333431","0,68282","0,733337","9,061879","35,408543","10,999263","1,8781","0,529583","5,31979","4,252913","5,028377","1,86505","0,756303","11,986064","13,340532","3,807607","0,630863","0,830992"
2,"2,625","4,541484","5,549539","2,85138","0,556098","0,48356","1,140493","1,438494","1,610134","0,760421","0,805821","7,126052","24,134977","11,576178","1,467921","0,503172","4,414629","3,256813","5,357736","1,721046","0,732436","9,396473","9,412771","3,824397","0,681135","0,72934"
2,"2,75","3,292264","3,085739","2,614976","0,678672","0,448784","0,894714","1,492518","1,839526","0,846025","0,878215","5,231145","16,116196","10,903187","1,299176","0,519783","3,288623","2,770062","5,216984","1,572736","0,764547","6,312429","6,030843","3,855313","0,77923","0,668077"
2,"2,875","2,254901","1,660998","2,396389","0,817288","0,457277","0,736751","1,44031","1,935048","0,934913","0,90857","3,887401","12,173018","9,124088","1,357026","0,563904","2,218007","2,725578","4,679808","1,470779","0,82672","3,612658","3,775154","3,870437","0,914735","0,630483"
2,3,"1,61532","1,266572","2,200117","0,93977","0,480431","0,68358","1,344965","1,870977","1,02143","0,871973","3,196548","11,791211","6,829762","1,561182","0,610689","1,438007","2,932908","3,925928","1,436916","0,882028","1,887118","2,724571","3,809721","1,079949","0,598281"
2,"3,125","1,419742","1,543209","2,031592","1,029405","0,503499","0,684697","1,28142","1,689062","1,109782","0,77589","2,84983","13,379423","4,808124","1,81573","0,641302","1,054087","3,16036","3,157805","1,469241","0,905019","1,394925","2,520564","3,610323","1,259304","0,56518"
2,"3,25","1,542392","2,027598","1,914042","1,092768","0,524866","0,710246","1,318872","1,488432","1,205184","0,653178","2,707937","15,055786","3,597456","2,023359","0,649064","0,951039","3,238847","2,528103","1,546263","0,891192","1,829686","2,653004","3,258852","1,42774","0,536805"
2,"3,375","2,014719","2,436201","1,901771","1,151314","0,546512","0,747182","1,475545","1,370544","1,305059","0,541885","2,596212","15,612222","3,337234","2,113998","0,636712","1,058302","3,159926","2,127658","1,637761","0,851179","2,823969","2,832707","2,857828","1,560199","0,521622"
2,"3,5","2,660952","2,670071","2,034188","1,22954","0,571762","0,796748","1,705044","1,372186","1,389468","0,468503","2,744264","14,746488","3,912641","2,081045","0,612311","1,300784","3,020625","1,965594","1,699565","0,80326","3,964187","2,950375","2,580554","1,641529","0,524427"
2,"3,625","3,978696","2,653469","2,247704","1,342109","0,603457","0,87042","1,920302","1,450249","1,424327","0,439735","3,280739","12,725064","5,064657","1,952054","0,584115","1,607928","2,913884","1,97496","1,701427","0,767723","5,39339","2,934917","2,496874","1,674215","0,544328"
2,"3,75","6,931507","2,41939","2,404275","1,4785","0,639568","1,017765","2,030113","1,500412","1,378899","0,443248","4,357889","10,106266","6,372667","1,787176","0,555238","2,090738","2,90245","2,039385","1,618011","0,759857","7,974775","2,839434","2,530187","1,668221","0,57154"
2,"3,875","12,079488","2,061167","2,381079","1,603945","0,673262","1,26472","1,96876","1,433999","1,249295","0,458099","6,070857","7,506326","7,383115","1,640438","0,524178","2,739037","2,9771","2,0416","1,455245","0,785866","12,246126","2,761895","2,550319","1,642061","0,590796"
